2024-07-14 02:43:29 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=0.10 | B_Pres=1014.25 | B_Temp=22.28 | A_Vel=0.00 | B_Vel=0.30 | F_Vel=0.00 | Cont_A,M=0,0 | accel=763,619,-1004 |
2024-07-14 02:43:30 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=-0.03 | B_Pres=1014.30 | B_Temp=22.28 | A_Vel=0.00 | B_Vel=0.08 | F_Vel=0.00 | Cont_A,M=0,0 | accel=761,614,-1006 |
2024-07-14 02:43:31 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=-0.01 | B_Pres=1014.29 | B_Temp=22.31 | A_Vel=0.00 | B_Vel=-1.48 | F_Vel=0.00 | Cont_A,M=0,0 | accel=765,621,-1006 |
2024-07-14 02:43:32 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=-0.37 | B_Pres=1014.35 | B_Temp=22.34 | A_Vel=0.00 | B_Vel=1.25 | F_Vel=0.00 | Cont_A,M=0,0 | accel=766,617,-1004 |
2024-07-14 02:43:33 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=0.39 | B_Pres=1014.30 | B_Temp=22.38 | A_Vel=0.00 | B_Vel=-1.02 | F_Vel=0.00 | Cont_A,M=0,0 | accel=762,618,-1006 |
2024-07-14 02:43:34 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=-0.44 | B_Pres=1014.33 | B_Temp=22.39 | A_Vel=0.00 | B_Vel=-1.44 | F_Vel=0.00 | Cont_A,M=0,0 | accel=762,615,-1005 |
2024-07-14 02:43:35 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=-0.09 | B_Pres=1014.35 | B_Temp=22.40 | A_Vel=0.00 | B_Vel=0.02 | F_Vel=0.00 | Cont_A,M=0,0 | accel=767,621,-1004 |
2024-07-14 02:43:36 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=-0.67 | B_Pres=1014.30 | B_Temp=22.38 | A_Vel=0.00 | B_Vel=-1.69 | F_Vel=0.00 | Cont_A,M=0,0 | accel=761,616,-1004 |
2024-07-14 02:43:37 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=-0.01 | B_Pres=1014.30 | B_Temp=22.37 | A_Vel=0.00 | B_Vel=-1.23 | F_Vel=0.00 | Cont_A,M=0,0 | accel=762,612,-1002 |
2024-07-14 02:43:38 | | READY_FOR_LIFTOFF | Lat,Long=-31.98823,115.81030 | B_Alt=-0.19 | B_Pres=1014.34 | B_Temp=22.35 | A_Vel=0.00 | B_Vel=1.73 | F_Vel=0.00 | Cont_A,M=0,0 | accel=776,610,-997 |
